n_palabra;n_bloque;palabra;inicio_s;fin_s;duracion_s;inicio_hms;fin_hms;probabilidad
59;7;vamos?;18.480;18.740;0.260;00:00:18.480;00:00:18.740;1.0000
60;8;Del;18.940;19.220;0.280;00:00:18.940;00:00:19.220;0.9966
61;8;24;19.220;19.580;0.360;00:00:19.220;00:00:19.580;1.0000
62;8;al;19.580;19.820;0.240;00:00:19.580;00:00:19.820;1.0000
63;8;28;19.820;20.000;0.180;00:00:19.820;00:00:20.000;1.0000
64;8;de;20.000;20.300;0.300;00:00:20.000;00:00:20.300;1.0000
65;8;agosto,;20.300;20.560;0.260;00:00:20.300;00:00:20.560;0.9971
66;8;que;20.660;21.100;0.440;00:00:20.660;00:00:21.100;1.0000
67;8;viene;21.100;21.280;0.180;00:00:21.100;00:00:21.280;1.0000
68;8;bastante;21.280;21.640;0.360;00:00:21.280;00:00:21.640;1.0000
69;8;cargadita.;21.640;22.240;0.600;00:00:21.640;00:00:22.240;1.0000
70;9;El;22.440;22.820;0.380;00:00:22.440;00:00:22.820;0.9995
71;9;lunes;22.820;23.120;0.300;00:00:22.820;00:00:23.120;1.0000
72;9;es;23.120;23.300;0.180;00:00:23.120;00:00:23.300;1.0000
73;9;día;23.300;23.480;0.180;00:00:23.300;00:00:23.480;0.8394
74;9;cargado;23.480;24.080;0.600;00:00:23.480;00:00:24.080;1.0000
75;9;de;24.080;24.200;0.120;00:00:24.080;00:00:24.200;1.0000
76;9;información,;24.200;24.480;0.280;00:00:24.200;00:00:24.480;1.0000
77;10;ya;24.840;25.380;0.540;00:00:24.840;00:00:25.380;1.0000
78;10;que;25.380;25.480;0.100;00:00:25.380;00:00:25.480;1.0000
79;10;sale;25.480;25.760;0.280;00:00:25.480;00:00:25.760;1.0000
80;10;el;25.760;25.920;0.160;00:00:25.760;00:00:25.920;1.0000
81;10;PIB;25.920;26.180;0.260;00:00:25.920;00:00:26.180;0.9868
82;10;del;26.180;26.320;0.140;00:00:26.180;00:00:26.320;1.0000
83;10;segundo;26.320;26.560;0.240;00:00:26.320;00:00:26.560;1.0000
84;10;trimestre,;26.560;27.140;0.580;00:00:26.560;00:00:27.140;1.0000
85;10;inflación;27.140;27.980;0.840;00:00:27.140;00:00:27.980;0.6768
86;10;de;27.980;28.060;0.080;00:00:27.980;00:00:28.060;0.9941
87;10;la;28.060;28.140;0.080;00:00:28.060;00:00:28.140;0.9985
88;10;primera;28.140;28.380;0.240;00:00:28.140;00:00:28.380;0.9990
89;11;quincena;28.380;28.880;0.500;00:00:28.380;00:00:28.880;0.9995
90;11;de;28.880;29.000;0.120;00:00:28.880;00:00:29.000;0.9995
91;11;agosto;29.000;29.320;0.320;00:00:29.000;00:00:29.320;0.9980
92;11;y;29.320;29.640;0.320;00:00:29.320;00:00:29.640;0.8979
93;11;la;29.640;29.740;0.100;00:00:29.640;00:00:29.740;0.9971
94;11;actividad;29.740;30.140;0.400;00:00:29.740;00:00:30.140;0.9980
95;11;económica;30.140;30.720;0.580;00:00:30.140;00:00:30.720;1.0000
96;11;de;30.720;30.840;0.120;00:00:30.720;00:00:30.840;0.9995
97;11;junio.;30.840;31.160;0.320;00:00:30.840;00:00:31.160;0.9995
98;12;Con;31.300;31.840;0.540;00:00:31.300;00:00:31.840;0.9976
99;12;todo;31.840;32.060;0.220;00:00:31.840;00:00:32.060;0.9990
100;12;esto;32.060;32.340;0.280;00:00:32.060;00:00:32.340;0.9995
101;12;actualizamos;32.340;32.880;0.540;00:00:32.340;00:00:32.880;0.9751
102;12;dos;32.880;33.120;0.240;00:00:32.880;00:00:33.120;0.9810
103;12;semáforos,;33.120;33.780;0.660;00:00:33.120;00:00:33.780;1.0000
104;12;el;33.780;33.980;0.200;00:00:33.780;00:00:33.980;0.9995
105;12;de;33.980;34.080;0.100;00:00:33.980;00:00:34.080;0.9980
106;12;crecimiento;34.080;34.640;0.560;00:00:34.080;00:00:34.640;0.9971
107;12;y;34.640;34.980;0.340;00:00:34.640;00:00:34.980;0.9995
108;12;el;34.980;35.120;0.140;00:00:34.980;00:00:35.120;1.0000
109;12;de;35.120;35.240;0.120;00:00:35.120;00:00:35.240;1.0000
110;12;inflación.;35.240;35.580;0.340;00:00:35.240;00:00:35.580;1.0000
111;13;Los;35.880;36.320;0.440;00:00:35.880;00:00:36.320;1.0000
112;13;resultados;36.320;36.680;0.360;00:00:36.320;00:00:36.680;1.0000
113;13;ya;36.680;36.900;0.220;00:00:36.680;00:00:36.900;0.9995
114;13;los;36.900;37.020;0.120;00:00:36.900;00:00:37.020;1.0000
115;13;puedes;37.020;37.220;0.200;00:00:37.020;00:00:37.220;0.9995
116;13;consultar;37.220;37.740;0.520;00:00:37.220;00:00:37.740;1.0000
117;13;en;37.740;37.880;0.140;00:00:37.740;00:00:37.880;1.0000
118;13;mexicocomovamos;37.880;38.840;0.960;00:00:37.880;00:00:38.840;0.7617
119;13;.mx;38.840;39.500;0.660;00:00:38.840;00:00:39.500;1.0000
120;13;al;39.500;39.940;0.440;00:00:39.500;00:00:39.940;0.9961
121;13;publicar;39.940;40.400;0.460;00:00:39.940;00:00:40.400;1.0000
122;13;este;40.400;40.560;0.160;00:00:40.400;00:00:40.560;0.9990
123;13;video.;40.560;40.820;0.260;00:00:40.560;00:00:40.820;0.9810
124;14;El;41.040;41.360;0.320;00:00:41.040;00:00:41.360;0.9980
125;14;martes;41.360;41.760;0.400;00:00:41.360;00:00:41.760;1.0000
126;14;viene;41.760;41.960;0.200;00:00:41.760;00:00:41.960;0.9995
127;14;lo;41.960;42.220;0.260;00:00:41.960;00:00:42.220;0.9995
128;14;bueno,;42.220;42.500;0.280;00:00:42.220;00:00:42.500;1.0000
129;14;si;42.580;42.900;0.320;00:00:42.580;00:00:42.900;1.0000
130;14;estás;42.900;43.140;0.240;00:00:42.900;00:00:43.140;0.9995
131;14;en;43.140;43.320;0.180;00:00:43.140;00:00:43.320;1.0000
132;14;el;43.320;43.440;0.120;00:00:43.320;00:00:43.440;0.9941
133;14;mundo;43.440;43.620;0.180;00:00:43.440;00:00:43.620;0.9902
134;14;de;43.620;43.760;0.140;00:00:43.620;00:00:43.760;1.0000
135;14;los;43.760;43.880;0.120;00:00:43.760;00:00:43.880;0.9995
136;14;datos.;43.880;44.160;0.280;00:00:43.880;00:00:44.160;1.0000
137;15;La;44.640;44.940;0.300;00:00:44.640;00:00:44.940;0.9980
138;15;ENOE,;44.940;45.280;0.340;00:00:44.940;00:00:45.280;0.9453
139;15;la;45.400;45.760;0.360;00:00:45.400;00:00:45.760;0.9990
140;15;Radiografía;45.760;46.420;0.660;00:00:45.760;00:00:46.420;0.8306
141;15;del;46.420;46.540;0.120;00:00:46.420;00:00:46.540;1.0000
142;15;Mercado;46.540;47.000;0.460;00:00:46.540;00:00:47.000;0.9990
143;15;Laboral,;47.000;47.480;0.480;00:00:47.000;00:00:47.480;1.0000
144;15;la;47.520;47.960;0.440;00:00:47.520;00:00:47.960;0.9990
145;15;base;47.960;48.180;0.220;00:00:47.960;00:00:48.180;0.9995
146;15;que;48.180;48.380;0.200;00:00:48.180;00:00:48.380;1.0000
147;15;nos;48.380;48.500;0.120;00:00:48.380;00:00:48.500;1.0000
148;15;dice;48.500;48.700;0.200;00:00:48.500;00:00:48.700;1.0000
149;15;cómo;48.700;48.880;0.180;00:00:48.700;00:00:48.880;0.9995
150;16;avanzó;48.880;49.220;0.340;00:00:48.880;00:00:49.220;1.0000
151;16;la;49.220;49.320;0.100;00:00:49.220;00:00:49.320;0.9995
152;16;formalidad;49.320;49.920;0.600;00:00:49.320;00:00:49.920;1.0000
153;16;y;49.920;50.180;0.260;00:00:49.920;00:00:50.180;1.0000
154;16;cuánto;50.180;50.560;0.380;00:00:50.180;00:00:50.560;1.0000
155;16;ganan;50.560;50.780;0.220;00:00:50.560;00:00:50.780;1.0000
156;16;los;50.780;50.900;0.120;00:00:50.780;00:00:50.900;1.0000
157;16;trabajadores;50.900;51.460;0.560;00:00:50.900;00:00:51.460;1.0000
158;16;en;51.460;51.720;0.260;00:00:51.460;00:00:51.720;1.0000
159;16;México.;51.720;51.980;0.260;00:00:51.720;00:00:51.980;1.0000
160;17;Esta;52.280;52.800;0.520;00:00:52.280;00:00:52.800;0.9995
161;17;base;52.800;53.040;0.240;00:00:52.800;00:00:53.040;1.0000
162;17;se;53.040;53.220;0.180;00:00:53.040;00:00:53.220;1.0000
163;17;actualiza;53.220;53.640;0.420;00:00:53.220;00:00:53.640;1.0000
164;17;al;53.640;53.720;0.080;00:00:53.640;00:00:53.720;0.9673
165;17;segundo;53.720;54.000;0.280;00:00:53.720;00:00:54.000;0.9995
166;17;trimestre.;54.000;54.580;0.580;00:00:54.000;00:00:54.580;0.9990
167;18;Al;54.760;55.200;0.440;00:00:54.760;00:00:55.200;0.9912
168;18;respecto,;55.200;55.540;0.340;00:00:55.200;00:00:55.540;0.9990
169;18;tenemos;55.700;56.000;0.300;00:00:55.700;00:00:56.000;0.9995
170;18;dos;56.000;56.220;0.220;00:00:56.000;00:00:56.220;0.9429
171;18;pendientes;56.220;56.800;0.580;00:00:56.220;00:00:56.800;0.9995
172;18;estructurales.;56.800;57.120;0.320;00:00:56.800;00:00:57.120;0.7271
173;19;El;57.140;57.760;0.620;00:00:57.140;00:00:57.760;0.3130
174;19;primero,;57.760;58.240;0.480;00:00:57.760;00:00:58.240;0.9922
175;19;la;58.340;58.440;0.100;00:00:58.340;00:00:58.440;1.0000
176;19;informalidad,;58.440;59.120;0.680;00:00:58.440;00:00:59.120;0.9995
177;19;ya;59.220;59.940;0.720;00:00:59.220;00:00:59.940;1.0000
178;19;que;59.940;60.040;0.100;00:00:59.940;00:01:00.040;1.0000
179;19;el;60.040;60.160;0.120;00:01:00.040;00:01:00.160;1.0000
180;19;trimestre;60.160;60.520;0.360;00:01:00.160;00:01:00.520;1.0000
181;19;pasado;60.520;60.760;0.240;00:01:00.520;00:01:00.760;1.0000
182;20;el;60.760;60.960;0.200;00:01:00.760;00:01:00.960;0.9961
183;20;54;60.960;61.240;0.280;00:01:00.960;00:01:01.240;1.0000
184;20;.8;61.240;62.280;1.040;00:01:01.240;00:01:02.280;0.9995
185;20;%;62.280;62.640;0.360;00:01:02.280;00:01:02.640;0.9976
186;20;de;62.640;62.960;0.320;00:01:02.640;00:01:02.960;1.0000
187;20;la;62.960;63.020;0.060;00:01:02.960;00:01:03.020;1.0000
188;20;población;63.020;63.340;0.320;00:01:03.020;00:01:03.340;1.0000
189;20;ocupada;63.340;63.820;0.480;00:01:03.340;00:01:03.820;1.0000
190;20;en;63.820;63.960;0.140;00:01:03.820;00:01:03.960;1.0000
191;20;México;63.960;64.240;0.280;00:01:03.960;00:01:04.240;1.0000
192;21;trabaja;64.880;65.480;0.600;00:01:04.880;00:01:05.480;0.9990
193;21;en;65.480;65.520;0.040;00:01:05.480;00:01:05.520;1.0000
194;21;un;65.520;65.620;0.100;00:01:05.520;00:01:05.620;1.0000
195;21;empleo;65.620;66.040;0.420;00:01:05.620;00:01:06.040;1.0000
196;21;sin;66.040;66.140;0.100;00:01:06.040;00:01:06.140;1.0000
197;21;prestaciones;66.140;66.760;0.620;00:01:06.140;00:01:06.760;1.0000
198;21;ni;66.760;67.000;0.240;00:01:06.760;00:01:07.000;1.0000
199;21;seguridad;67.000;67.380;0.380;00:01:07.000;00:01:07.380;0.9995
200;21;social.;67.380;67.840;0.460;00:01:07.380;00:01:07.840;1.0000
201;22;Además,;68.420;69.020;0.600;00:01:08.420;00:01:09.020;1.0000
202;22;la;69.140;69.260;0.120;00:01:09.140;00:01:09.260;1.0000
203;22;participación;69.260;69.880;0.620;00:01:09.260;00:01:09.880;1.0000
204;22;laboral;69.880;70.320;0.440;00:01:09.880;00:01:10.320;1.0000
205;22;de;70.320;70.400;0.080;00:01:10.320;00:01:10.400;1.0000
206;22;las;70.400;70.480;0.080;00:01:10.400;00:01:10.480;1.0000
207;22;mujeres;70.480;70.780;0.300;00:01:10.480;00:01:10.780;1.0000
208;22;está;70.780;71.260;0.480;00:01:10.780;00:01:11.260;1.0000
209;22;muy;71.260;71.480;0.220;00:01:11.260;00:01:11.480;1.0000
210;22;baja,;71.480;71.760;0.280;00:01:11.480;00:01:11.760;1.0000
211;22;con;71.880;72.320;0.440;00:01:11.880;00:01:12.320;1.0000
212;22;una;72.320;72.460;0.140;00:01:12.320;00:01:12.460;1.0000
213;22;brecha;72.460;72.780;0.320;00:01:12.460;00:01:12.780;1.0000
214;22;de;72.780;72.880;0.100;00:01:12.780;00:01:12.880;1.0000
215;23;casi;72.880;73.020;0.140;00:01:12.880;00:01:13.020;1.0000
216;23;30;73.020;73.340;0.320;00:01:13.020;00:01:13.340;1.0000
217;23;puntos;73.340;73.720;0.380;00:01:13.340;00:01:13.720;0.9946
218;23;porcentuales;73.720;74.540;0.820;00:01:13.720;00:01:14.540;1.0000
219;23;con;74.540;74.660;0.120;00:01:14.540;00:01:14.660;1.0000
220;23;respecto;74.660;74.940;0.280;00:01:14.660;00:01:14.940;1.0000
221;23;a;74.940;75.180;0.240;00:01:14.940;00:01:15.180;1.0000
222;23;la;75.180;75.240;0.060;00:01:15.180;00:01:15.240;1.0000
223;23;tasa;75.240;75.560;0.320;00:01:15.240;00:01:15.560;0.9995
224;23;de;75.560;75.580;0.020;00:01:15.560;00:01:15.580;1.0000
225;23;participación;75.580;76.320;0.740;00:01:15.580;00:01:16.320;1.0000
226;23;masculina.;76.320;76.920;0.600;00:01:16.320;00:01:16.920;1.0000
227;24;Esto;77.120;77.720;0.600;00:01:17.120;00:01:17.720;1.0000
228;24;importa;77.720;78.020;0.300;00:01:17.720;00:01:18.020;1.0000
229;24;porque;78.020;78.820;0.800;00:01:18.020;00:01:18.820;0.9917
230;24;casi;78.820;79.080;0.260;00:01:18.820;00:01:19.080;1.0000
231;24;el;79.080;79.280;0.200;00:01:19.080;00:01:19.280;1.0000
232;24;70;79.280;79.460;0.180;00:01:19.280;00:01:19.460;1.0000
233;24;%;79.460;79.840;0.380;00:01:19.460;00:01:19.840;1.0000
234;24;del;79.840;80.140;0.300;00:01:19.840;00:01:20.140;1.0000
235;24;ingreso;80.140;80.540;0.400;00:01:20.140;00:01:20.540;1.0000
236;24;de;80.540;80.620;0.080;00:01:20.540;00:01:20.620;1.0000
237;24;las;80.620;80.720;0.100;00:01:20.620;00:01:20.720;1.0000
238;24;familias;80.720;81.280;0.560;00:01:20.720;00:01:21.280;1.0000
239;25;justamente;81.280;81.640;0.360;00:01:21.280;00:01:21.640;0.9980
240;25;viene;81.640;82.440;0.800;00:01:21.640;00:01:22.440;1.0000
241;25;del;82.440;82.720;0.280;00:01:22.440;00:01:22.720;1.0000
242;25;ingreso;82.720;83.120;0.400;00:01:22.720;00:01:23.120;1.0000
243;25;del;83.120;83.260;0.140;00:01:23.120;00:01:23.260;1.0000
244;25;trabajo.;83.260;83.540;0.280;00:01:23.260;00:01:23.540;1.0000
245;26;El;83.900;84.500;0.600;00:01:23.900;00:01:24.500;0.9980
246;26;miércoles;84.500;84.940;0.440;00:01:24.500;00:01:24.940;1.0000
247;26;toca;84.940;85.160;0.220;00:01:24.940;00:01:25.160;0.9922
248;26;revisar;85.160;85.720;0.560;00:01:25.160;00:01:25.720;0.9995
249;26;pobreza;85.720;86.180;0.460;00:01:25.720;00:01:26.180;0.9873
250;26;laboral,;86.180;86.660;0.480;00:01:26.180;00:01:26.660;1.0000
251;27;aquellas;87.220;87.260;0.040;00:01:27.220;00:01:27.260;0.9277
252;27;personas;87.260;87.540;0.280;00:01:27.260;00:01:27.540;0.9990
253;27;cuyo;87.540;87.900;0.360;00:01:27.540;00:01:27.900;0.9980
254;27;ingreso;87.900;88.220;0.320;00:01:27.900;00:01:28.220;0.9990
255;27;por;88.220;88.400;0.180;00:01:28.220;00:01:28.400;0.9966
256;27;trabajar;88.400;88.740;0.340;00:01:28.400;00:01:28.740;0.9956
257;27;no;88.740;89.020;0.280;00:01:28.740;00:01:29.020;0.9961
258;27;alcanza;89.020;89.500;0.480;00:01:29.020;00:01:29.500;0.9966
259;27;ni;89.500;89.580;0.080;00:01:29.500;00:01:29.580;0.9966
260;27;para;89.580;89.740;0.160;00:01:29.580;00:01:29.740;0.9985
261;28;pagar;89.740;90.060;0.320;00:01:29.740;00:01:30.060;0.9995
262;28;la;90.060;90.300;0.240;00:01:30.060;00:01:30.300;0.9980
263;28;canasta;90.300;90.660;0.360;00:01:30.300;00:01:30.660;0.9995
264;28;alimentaria;90.660;91.360;0.700;00:01:30.660;00:01:31.360;0.9990
265;28;de;91.360;91.880;0.520;00:01:31.360;00:01:31.880;0.9961
266;28;los;91.880;92.040;0.160;00:01:31.880;00:01:32.040;0.9980
267;28;miembros;92.040;92.400;0.360;00:01:32.040;00:01:32.400;0.9995
268;28;de;92.400;92.540;0.140;00:01:32.400;00:01:32.540;0.9985
269;28;su;92.540;92.680;0.140;00:01:32.540;00:01:32.680;0.9990
270;28;hogar.;92.680;92.920;0.240;00:01:32.680;00:01:32.920;1.0000
271;29;Si;93.000;93.260;0.260;00:01:33.000;00:01:33.260;0.9971
272;29;bien;93.260;93.400;0.140;00:01:33.260;00:01:33.400;0.9990
273;29;el;93.400;93.540;0.140;00:01:33.400;00:01:33.540;0.9985
274;29;trimestre;93.540;93.940;0.400;00:01:33.540;00:01:33.940;1.0000
275;29;pasado;93.940;94.160;0.220;00:01:33.940;00:01:34.160;1.0000
276;29;marcó;94.160;94.680;0.520;00:01:34.160;00:01:34.680;0.9971
277;29;su;94.680;94.780;0.100;00:01:34.680;00:01:34.780;0.9990
278;29;mínimo;94.780;95.060;0.280;00:01:34.780;00:01:35.060;0.9980
279;29;histórico,;95.060;95.680;0.620;00:01:35.060;00:01:35.680;1.0000
280;29;o;95.780;96.080;0.300;00:01:35.780;00:01:36.080;0.9966
281;29;sea,;96.080;96.220;0.140;00:01:36.080;00:01:36.220;0.9995
282;30;el;96.240;96.380;0.140;00:01:36.240;00:01:36.380;0.9995
283;30;número;96.380;96.620;0.240;00:01:36.380;00:01:36.620;0.9995
284;30;más;96.620;96.840;0.220;00:01:36.620;00:01:36.840;1.0000
285;30;bajo;96.840;97.160;0.320;00:01:36.840;00:01:37.160;1.0000
286;30;que;97.160;97.360;0.200;00:01:37.160;00:01:37.360;1.0000
287;30;ha;97.360;97.440;0.080;00:01:37.360;00:01:37.440;1.0000
288;30;tenido;97.440;97.740;0.300;00:01:37.440;00:01:37.740;1.0000
289;30;en;97.740;97.900;0.160;00:01:37.740;00:01:37.900;1.0000
290;30;la;97.900;97.940;0.040;00:01:37.900;00:01:37.940;1.0000
291;30;historia,;97.940;98.220;0.280;00:01:37.940;00:01:38.220;1.0000
292;30;aún;98.440;98.740;0.300;00:01:38.440;00:01:38.740;0.9985
293;30;así;98.740;98.940;0.200;00:01:38.740;00:01:38.940;1.0000
294;30;son;98.940;99.140;0.200;00:01:38.940;00:01:39.140;0.9995
295;30;más;99.140;99.300;0.160;00:01:39.140;00:01:39.300;1.0000
296;31;de;99.300;99.440;0.140;00:01:39.300;00:01:39.440;1.0000
297;31;40;99.440;99.720;0.280;00:01:39.440;00:01:39.720;0.9985
298;31;millones;99.720;100.060;0.340;00:01:39.720;00:01:40.060;1.0000
299;31;de;100.060;100.380;0.320;00:01:40.060;00:01:40.380;1.0000
300;31;personas;100.380;100.700;0.320;00:01:40.380;00:01:40.700;1.0000
301;31;que;100.700;101.060;0.360;00:01:40.700;00:01:41.060;1.0000
302;31;viven;101.060;101.260;0.200;00:01:41.060;00:01:41.260;0.9990
303;31;en;101.260;101.400;0.140;00:01:41.260;00:01:41.400;1.0000
304;31;esta;101.400;101.640;0.240;00:01:41.400;00:01:41.640;1.0000
305;31;situación.;101.640;102.020;0.380;00:01:41.640;00:01:42.020;1.0000
306;32;La;102.360;102.880;0.520;00:01:42.360;00:01:42.880;1.0000
307;32;salida;102.880;103.320;0.440;00:01:42.880;00:01:43.320;1.0000
308;32;es;103.320;103.400;0.080;00:01:43.320;00:01:43.400;1.0000
309;32;una.;103.400;103.600;0.200;00:01:43.400;00:01:43.600;1.0000
310;33;Nos;103.720;104.180;0.460;00:01:43.720;00:01:44.180;1.0000
311;33;toca;104.180;104.420;0.240;00:01:44.180;00:01:44.420;1.0000
312;33;crear;104.420;104.720;0.300;00:01:44.420;00:01:44.720;1.0000
313;33;más;104.720;105.000;0.280;00:01:44.720;00:01:45.000;1.0000
314;33;empleos;105.000;105.560;0.560;00:01:45.000;00:01:45.560;1.0000
315;33;formales;105.560;106.000;0.440;00:01:45.560;00:01:46.000;1.0000
316;33;en;106.000;106.160;0.160;00:01:46.000;00:01:46.160;1.0000
317;33;el;106.160;106.260;0.100;00:01:46.160;00:01:46.260;1.0000
318;33;país.;106.260;106.520;0.260;00:01:46.260;00:01:46.520;1.0000
319;34;El;106.800;107.160;0.360;00:01:46.800;00:01:47.160;0.9995
320;34;jueves;107.160;107.420;0.260;00:01:47.160;00:01:47.420;1.0000
321;34;sale;107.420;107.560;0.140;00:01:47.420;00:01:47.560;1.0000
322;34;la;107.560;107.720;0.160;00:01:47.560;00:01:47.720;0.9995
323;34;balanza;107.720;108.080;0.360;00:01:47.720;00:01:48.080;0.9971
324;34;comercial;108.080;108.300;0.220;00:01:48.080;00:01:48.300;1.0000
325;34;de;108.300;108.600;0.300;00:01:48.300;00:01:48.600;1.0000
326;34;julio,;108.600;109.040;0.440;00:01:48.600;00:01:49.040;0.9980
327;34;la;109.060;109.880;0.820;00:01:49.060;00:01:49.880;0.9995
328;34;ENOE;109.880;110.280;0.400;00:01:49.880;00:01:50.280;0.7812
329;34;mensual;110.280;110.660;0.380;00:01:50.280;00:01:50.660;1.0000
330;34;de;110.660;110.800;0.140;00:01:50.660;00:01:50.800;1.0000
331;34;julio;110.800;111.220;0.420;00:01:50.800;00:01:51.220;1.0000
332;35;y;111.220;111.740;0.520;00:01:51.220;00:01:51.740;0.8789
333;35;el;111.740;111.800;0.060;00:01:51.740;00:01:51.800;1.0000
334;35;informe;111.800;112.220;0.420;00:01:51.800;00:01:52.220;0.9990
335;35;trimestral;112.220;112.700;0.480;00:01:52.220;00:01:52.700;0.9995
336;35;de;112.700;112.820;0.120;00:01:52.700;00:01:52.820;1.0000
337;35;Banxico,;112.820;113.140;0.320;00:01:52.820;00:01:53.140;0.9668
338;35;en;113.360;113.820;0.460;00:01:53.360;00:01:53.820;0.9990
339;35;el;113.820;113.940;0.120;00:01:53.820;00:01:53.940;1.0000
340;35;cual;113.940;114.100;0.160;00:01:53.940;00:01:54.100;0.9995
341;35;sabremos;114.100;114.520;0.420;00:01:54.100;00:01:54.520;0.9995
342;35;cómo;114.520;114.800;0.280;00:01:54.520;00:01:54.800;0.9990
343;35;ve;114.800;114.980;0.180;00:01:54.800;00:01:54.980;0.9458
344;35;el;114.980;115.100;0.120;00:01:54.980;00:01:55.100;0.9995
345;35;Banco;115.100;115.380;0.280;00:01:55.100;00:01:55.380;0.9834
